id,name,code,account_type,tag_ids,reconcile,name@fr
l10n_dz_101000,"Capital émis ou capital social ou fonds de dotation, ou fonds d’exploitation",101000,equity,,True,"Capital émis ou capital social ou fonds de dotation, ou fonds d’exploitation"
l10n_dz_101100,Capital social,101100,equity,,True,Capital social
l10n_dz_101110,Capital souscrit - non appelé,101110,equity,,True,Capital souscrit - non appelé
l10n_dz_101120,Capital souscrit - appelé non versé,101120,equity,,True,Capital souscrit - appelé non versé
l10n_dz_101130,Capital souscrit - appelé versé,101130,equity,,True,Capital souscrit - appelé versé
l10n_dz_101200,Fonds de dotation,101200,equity,,True,Fonds de dotation
l10n_dz_101300,Fonds d'exploitation,101300,equity,,True,Fonds d'exploitation
l10n_dz_101800,Autres fonds propres,101800,equity,,True,Autres fonds propres
l10n_dz_103000,Primes liées au capital social,103000,equity,,True,Primes liées au capital social
l10n_dz_103100,Primes d'émission,103100,equity,,True,Primes d'émission
l10n_dz_103200,Primes de fusion,103200,equity,,True,Primes de fusion
l10n_dz_103300,Primes d'apport,103300,equity,,True,Primes d'apport
l10n_dz_103400,Primes de conversion d'obligations en actions,103400,equity,,True,Primes de conversion d'obligations en actions
l10n_dz_103500,Bons de souscription d'actions,103500,equity,,True,Bons de souscription d'actions
l10n_dz_104000,Ecart d’évaluation,104000,equity,,True,Ecart d’évaluation
l10n_dz_105000,Écarts de réévaluation,105000,equity,,True,Écarts de réévaluation
l10n_dz_105100,Ecart de réévaluation sur immobilisations corporelles,105100,equity,,True,Ecart de réévaluation sur immobilisations corporelles
l10n_dz_105900,Ecart de réévaluation rapporté au résultat de l’exercice,105900,equity,,True,Ecart de réévaluation rapporté au résultat de l’exercice
l10n_dz_106000,"Réserves (légale, statutaire, ordinaire, réglementée)",106000,equity,,True,"Réserves (légale, statutaire, ordinaire, réglementée)"
l10n_dz_106100,Réserve légale,106100,equity,,True,Réserve légale
l10n_dz_106210,Réserves réglementées : Bénéfice taxé au taux réduit,106210,equity,,True,Réserves réglementées : Bénéfice taxé au taux réduit
l10n_dz_106220,Réserves réglementées : Plus value de cession à réinvestir,106220,equity,,True,Réserves réglementées : Plus value de cession à réinvestir
l10n_dz_106300,Réserves statutaires ou contractuelles,106300,equity,,True,Réserves statutaires ou contractuelles
l10n_dz_106400,Réserves ordinaires,106400,equity,,True,Réserves ordinaires
l10n_dz_106500,Réserves Spéciales consécutive à l’octroi d’avantages,106500,equity,,True,Réserves Spéciales consécutive à l’octroi d’avantages
l10n_dz_106600,Réserves facultatives,106600,equity,,True,Réserves facultatives
l10n_dz_106800,Autres réserves,106800,equity,,True,Autres réserves
