id,name,code,account_type,tag_ids,reconcile,name@fr
l10n_dz_101100,Capital social,101100,equity,,True,Capital social
l10n_dz_101110,Capital souscrit - non appelé,101110,equity,,True,Capital souscrit - non appelé
l10n_dz_101120,Capital souscrit - appelé non versé,101120,equity,,True,Capital souscrit - appelé non versé
l10n_dz_101130,Capital souscrit - appelé versé,101130,equity,,True,Capital souscrit - appelé versé
l10n_dz_101200,Fonds de dotation,101200,equity,,True,Fonds de dotation
l10n_dz_101300,Fonds d'exploitation,101300,equity,,True,Fonds d'exploitation
l10n_dz_101800,Autres fonds propres,101800,equity,,True,Autres fonds propres
l10n_dz_103100,Primes d'émission,103100,equity,,True,Primes d'émission
l10n_dz_103200,Primes de fusion,103200,equity,,True,Primes de fusion
l10n_dz_103300,Primes d'apport,103300,equity,,True,Primes d'apport
l10n_dz_103400,Primes de conversion d'obligations en actions,103400,equity,,True,Primes de conversion d'obligations en actions
l10n_dz_103500,Bons de souscription d'actions,103500,equity,,True,Bons de souscription d'actions
l10n_dz_105100,Ecart de réévaluation sur immobilisations corporelles,105100,equity,,True,Ecart de réévaluation sur immobilisations corporelles
l10n_dz_105900,Ecart de réévaluation rapporté au résultat de l’exercice,105900,equity,,True,Ecart de réévaluation rapporté au résultat de l’exercice
l10n_dz_106100,Réserve légale,106100,equity,,True,Réserve légale
l10n_dz_106210,Réserves réglementées : Bénéfice taxé au taux réduit,106210,equity,,True,Réserves réglementées : Bénéfice taxé au taux réduit
l10n_dz_106220,Réserves réglementées : Plus value de cession à réinvestir,106220,equity,,True,Réserves réglementées : Plus value de cession à réinvestir
l10n_dz_106300,Réserves statutaires ou contractuelles,106300,equity,,True,Réserves statutaires ou contractuelles
l10n_dz_106400,Réserves ordinaires,106400,equity,,True,Réserves ordinaires
l10n_dz_106500,Réserves Spéciales consécutive à l’octroi d’avantages,106500,equity,,True,Réserves Spéciales consécutive à l’octroi d’avantages
l10n_dz_106600,Réserves facultatives,106600,equity,,True,Réserves facultatives
l10n_dz_106800,Autres réserves,106800,equity,,True,Autres réserves
l10n_dz_115000,Impact résultant du changement de la réglementation et des méthodes,115000,equity,,True,Impact résultant du changement de la réglementation et des méthodes
l10n_dz_115100,Impact positif (plus value),115100,equity,,True,Impact positif (plus value)
l10n_dz_115900,Impact négatif (moins value),115900,equity,,True,Impact négatif (moins value)
l10n_dz_117000,Impact résultant des corrections d’estimation et d’erreurs comptables,117000,equity,,True,Impact résultant des corrections d’estimation et d’erreurs comptables
l10n_dz_117100,Impact d'assainissement comptable et financier : positif,117100,equity,,True,Impact d'assainissement comptable et financier : positif
l10n_dz_117500,Ajustement résultant de correction d'estimation,117500,equity,,True,Ajustement résultant de correction d'estimation
l10n_dz_117600,Ajustement résultant de correction d'erreurs comptables,117600,equity,,True,Ajustement résultant de correction d'erreurs comptables
l10n_dz_117900,Impact d'assainissement comptable et financier : négatif,117900,equity,,True,Impact d'assainissement comptable et financier : négatif
l10n_dz_118000,Acompte sur dividendes,118000,equity,,True,Acompte sur dividendes
l10n_dz_119000,Report à nouveau (Déficit),119000,equity,,True,Report à nouveau (Déficit)
l10n_dz_121000,Marge commerciale,121000,equity,,True,Marge commerciale
l10n_dz_122000,Production de l'exercice,122000,equity,,True,Production de l'exercice
l10n_dz_123000,Valeur ajoutée d'exploitation,123000,equity,,True,Valeur ajoutée d'exploitation
l10n_dz_124000,Excédent (ou insuffisance) brut d'exploitation (EBE) – EBITDA,124000,equity,,True,Excédent (ou insuffisance) brut d'exploitation (EBE) – EBITDA
l10n_dz_125000,Résultat opérationnel,125000,equity,,True,Résultat opérationnel
l10n_dz_126000,Résultat ordinaire avant impôts,126000,equity,,True,Résultat ordinaire avant impôts
l10n_dz_127000,Résultat extraordinaire,127000,equity,,True,Résultat extraordinaire
l10n_dz_128000,Résultat brut de l'exercice,128000,equity,,True,Résultat brut de l'exercice
l10n_dz_129000,Résultat de l'exercice (perte),129000,equity,,True,Résultat de l'exercice (perte)
l10n_dz_131100,Subventions d’équipements : Financement de l'Etat,131100,liability_current,,True,Subventions d’équipements : Financement de l'Etat
l10n_dz_131200,Subventions d’équipements : Financement d'autres organismes,131200,liability_current,,True,Subventions d’équipements : Financement d'autres organismes
l10n_dz_131300,Transfert gratuit d’immobilisations,131300,liability_current,,True,Transfert gratuit d’immobilisations
l10n_dz_131900,Subventions d'investissement inscrites au compte de résultat,131900,liability_current,,True,Subventions d'investissement inscrites au compte de résultat
l10n_dz_132100,Subventions d’investissement,132100,liability_current,,True,Subventions d’investissement
l10n_dz_132200,Subventions pour financement d'activités à long terme,132200,liability_current,,True,Subventions pour financement d'activités à long terme
l10n_dz_132900,Autres subventions inscrites au compte de résultat,132900,liability_current,,True,Autres subventions inscrites au compte de résultat
l10n_dz_138600,Charges différées – Passif non courant,138600,liability_current,,True,Charges différées – Passif non courant
l10n_dz_138700,Produits différés – Passif non courant,138700,liability_current,,True,Produits différés – Passif non courant
l10n_dz_153100,Provisions pour avantages au personnel (IDR – IFC),153100,liability_non_current,,True,Provisions pour avantages au personnel (IDR – IFC)
l10n_dz_155100,Provision pour rappel d'impôts et amendes fiscales,155100,liability_non_current,,True,Provision pour rappel d'impôts et amendes fiscales
l10n_dz_158100,Provisions pour remise en l’état ou de démantèlement,158100,liability_non_current,,True,Provisions pour remise en l’état ou de démantèlement
l10n_dz_158200,Provision pour perte à terminaison (contrats déficitaires),158200,liability_non_current,,True,Provision pour perte à terminaison (contrats déficitaires)
l10n_dz_158300,Provision pour procès et litiges (au-delà de 12 mois),158300,liability_non_current,,True,Provision pour procès et litiges (au-delà de 12 mois)
l10n_dz_158400,Provision pour garantie données aux clients (au-delà de 12 mois),158400,liability_non_current,,True,Provision pour garantie données aux clients (au-delà de 12 mois)
l10n_dz_158800,Autres provisions résultant d’obligation légale ou implicite,158800,liability_non_current,,True,Autres provisions résultant d’obligation légale ou implicite
l10n_dz_161100,Emprunt Principal,161100,liability_current,,True,Emprunt Principal
l10n_dz_161800,Intérêts courus et non échus,161800,liability_current,,True,Intérêts courus et non échus
l10n_dz_162100,Principal,162100,liability_current,,True,Principal
l10n_dz_162800,Intérêts courus et non échus,162800,liability_current,,True,Intérêts courus et non échus
l10n_dz_163100,Principal,163100,liability_current,,True,Principal
l10n_dz_163800,Intérêts courus et non échus,163800,liability_current,,True,Intérêts courus et non échus
l10n_dz_164100,Emprunts à Court Terme,164100,liability_current,,True,Emprunts à Court Terme
l10n_dz_164200,Emprunts à Moyen Terme,164200,liability_current,,True,Emprunts à Moyen Terme
l10n_dz_164300,Emprunts à Long Terme,164300,liability_current,,True,Emprunts à Long Terme
l10n_dz_164600,Intérêts intercalaires,164600,liability_current,,True,Intérêts intercalaires
l10n_dz_164800,Intérêts courus et non échus,164800,liability_current,,True,Intérêts courus et non échus
l10n_dz_165100,Dépôts reçus,165100,liability_current,,True,Dépôts reçus
l10n_dz_165500,Cautionnements reçus,165500,liability_current,,True,Cautionnements reçus
l10n_dz_165800,Intérêts courus et non échus,165800,liability_current,,True,Intérêts courus et non échus
l10n_dz_167100,Principal,167100,liability_current,,True,Principal
l10n_dz_167800,Intérêts courus et non échus,167800,liability_current,,True,Intérêts courus et non échus
l10n_dz_168100,Principal,168100,liability_current,,True,Principal
l10n_dz_168800,Intérêts courus et non échus,168800,liability_current,,True,Intérêts courus et non échus
l10n_dz_181400,Créances inter-Unités (ou établissement),181400,liability_current,,True,Créances inter-Unités (ou établissement)
l10n_dz_181500,Dettes inter-Unités (ou établissement),181500,liability_current,,True,Dettes inter-Unités (ou établissement)
l10n_dz_181600,Charges inter-Unités (ou établissement),181600,liability_current,,True,Charges inter-Unités (ou établissement)
l10n_dz_181700,Produis inter-Unités (ou établissement),181700,liability_current,,True,Produis inter-Unités (ou établissement)
l10n_dz_188400,Créances sur la participation ou GIE,188400,liability_current,,True,Créances sur la participation ou GIE
l10n_dz_188410,Créances commerciales,188410,liability_current,,True,Créances commerciales
l10n_dz_188420,Créances financières,188420,liability_current,,True,Créances financières
l10n_dz_188500,Dettes envers la participation ou GIE,188500,liability_current,,True,Dettes envers la participation ou GIE
l10n_dz_188510,Dettes commerciales,188510,liability_current,,True,Dettes commerciales
l10n_dz_188520,Dettes financières,188520,liability_current,,True,Dettes financières
l10n_dz_205100,Droit à la propriété industrielle et commerciale,205100,asset_fixed,,True,Droit à la propriété industrielle et commerciale
l10n_dz_205800,Autres droits similaires (concession et franchise),205800,asset_fixed,,True,Autres droits similaires (concession et franchise)
l10n_dz_207100,Ecart d'acquisition positif (goodwill),207100,asset_fixed,,True,Ecart d'acquisition positif (goodwill)
l10n_dz_207200,Autres écarts d’acquisitions ou de fusions,207200,asset_fixed,,True,Autres écarts d’acquisitions ou de fusions
l10n_dz_207900,Ecart d'acquisition négatif (badwill),207900,asset_fixed,,True,Ecart d'acquisition négatif (badwill)
l10n_dz_208100,Fonds de commerce,208100,asset_fixed,,True,Fonds de commerce
l10n_dz_208200,Droit au bail,208200,asset_fixed,,True,Droit au bail
l10n_dz_208700,Actif environnemental,208700,asset_fixed,,True,Actif environnemental
l10n_dz_211100,Terrains nus,211100,asset_fixed,,True,Terrains nus
l10n_dz_211200,Terrains bâtis,211200,asset_fixed,,True,Terrains bâtis
l10n_dz_211210,Terrains administratifs et commerciaux,211210,asset_fixed,,True,Terrains administratifs et commerciaux
l10n_dz_211220,Terrains industriels,211220,asset_fixed,,True,Terrains industriels
l10n_dz_211300,Terrains aménagés,211300,asset_fixed,,True,Terrains aménagés
l10n_dz_211310,Terrains aménagés en aires de stockage,211310,asset_fixed,,True,Terrains aménagés en aires de stockage
l10n_dz_211320,Terrains aménagés en aires de stationnement et parking,211320,asset_fixed,,True,Terrains aménagés en aires de stationnement et parking
l10n_dz_211400,Terrains de gisement(carrières),211400,asset_fixed,,True,Terrains de gisement(carrières)
l10n_dz_212100,Aménagement d’espaces verts,212100,asset_fixed,,True,Aménagement d’espaces verts
l10n_dz_212200,Autres agencements et aménagements de terrains,212200,asset_fixed,,True,Autres agencements et aménagements de terrains
l10n_dz_213100,Bâtiments administratifs et commerciaux,213100,asset_fixed,,True,Bâtiments administratifs et commerciaux
l10n_dz_213110,Bâtiment Structure,213110,asset_fixed,,True,Bâtiment Structure
l10n_dz_213120,Bâtiment composant A,213120,asset_fixed,,True,Bâtiment composant A
l10n_dz_213130,Bâtiment composant B,213130,asset_fixed,,True,Bâtiment composant B
l10n_dz_213140,Bâtiment composant C,213140,asset_fixed,,True,Bâtiment composant C
l10n_dz_213200,Bâtiments industriels (à décomposer en cas de besoin),213200,asset_fixed,,True,Bâtiments industriels (à décomposer en cas de besoin)
l10n_dz_213300,Bâtiments sociaux (CMS – CANTINE – REFECTOIRE),213300,asset_fixed,,True,Bâtiments sociaux (CMS – CANTINE – REFECTOIRE)
l10n_dz_213400,Immeubles de placement,213400,asset_fixed,,True,Immeubles de placement
l10n_dz_213410,Logements du personnel,213410,asset_fixed,,True,Logements du personnel
l10n_dz_213480,Autres immeubles de placement,213480,asset_fixed,,True,Autres immeubles de placement
l10n_dz_213500,"Agencements, aménagements et installations des bâtiments",213500,asset_fixed,,True,"Agencements, aménagements et installations des bâtiments"
l10n_dz_213600,Ouvrages d’infrastructures : Voies de transport ou d'accès,213600,asset_fixed,,True,Ouvrages d’infrastructures : Voies de transport ou d'accès
l10n_dz_213700,Ouvrages d’infrastructures : Voies de transport ou d'accès,213700,asset_fixed,,True,Ouvrages d’infrastructures : Voies de transport ou d'accès
l10n_dz_213800,Autres travaux d'aménagement sur ouvrages d’infrastructures,213800,asset_fixed,,True,Autres travaux d'aménagement sur ouvrages d’infrastructures
l10n_dz_215100,Installations complexes spécialisées,215100,asset_fixed,,True,Installations complexes spécialisées
l10n_dz_215300,Installations à caractère spécifique,215300,asset_fixed,,True,Installations à caractère spécifique
l10n_dz_215400,Matériel industriel,215400,asset_fixed,,True,Matériel industriel
l10n_dz_215500,Outillage industriel,215500,asset_fixed,,True,Outillage industriel
l10n_dz_215700,Agencements et aménagements du matériel et outillage industriels,215700,asset_fixed,,True,Agencements et aménagements du matériel et outillage industriels
l10n_dz_215800,Autres matériels et outillage industriel,215800,asset_fixed,,True,Autres matériels et outillage industriel
l10n_dz_218100,Installations générales agencements aménagements divers,218100,asset_fixed,,True,Installations générales agencements aménagements divers
l10n_dz_218200,Matériel de transport,218200,asset_fixed,,True,Matériel de transport
l10n_dz_218210,Matériel de transport : Véhicules Lourds,218210,asset_fixed,,True,Matériel de transport : Véhicules Lourds
l10n_dz_218220,"Matériel de transport : Véhicules Utilitaires inférieurs à 3,5 T",218220,asset_fixed,,True,"Matériel de transport : Véhicules Utilitaires inférieurs à 3,5 T"
l10n_dz_218230,Matériel de transport : Véhicules Légers de tourisme,218230,asset_fixed,,True,Matériel de transport : Véhicules Légers de tourisme
l10n_dz_218240,Matériels de transport en commun,218240,asset_fixed,,True,Matériels de transport en commun
l10n_dz_218300,Matériel de bureau et matériel informatique,218300,asset_fixed,,True,Matériel de bureau et matériel informatique
l10n_dz_218310,Matériel de bureau,218310,asset_fixed,,True,Matériel de bureau
l10n_dz_218320,Matériel informatique,218320,asset_fixed,,True,Matériel informatique
l10n_dz_218340,"Matériel de communication, de projection et d’insonorisation",218340,asset_fixed,,True,"Matériel de communication, de projection et d’insonorisation"
l10n_dz_218350,Matériel didactique de formation,218350,asset_fixed,,True,Matériel didactique de formation
l10n_dz_218380,Autres équipements de bureau,218380,asset_fixed,,True,Autres équipements de bureau
l10n_dz_218400,Mobilier,218400,asset_fixed,,True,Mobilier
l10n_dz_218410,Mobilier de bureau,218410,asset_fixed,,True,Mobilier de bureau
l10n_dz_218480,Autres mobiliers d'ameublement ou d'accueil,218480,asset_fixed,,True,Autres mobiliers d'ameublement ou d'accueil
l10n_dz_218500,Autres mobiliers et matériels divers,218500,asset_fixed,,True,Autres mobiliers et matériels divers
l10n_dz_218510,Mobilier et équipements ménagers,218510,asset_fixed,,True,Mobilier et équipements ménagers
l10n_dz_218520,Mobilier et matériel médical de secours,218520,asset_fixed,,True,Mobilier et matériel médical de secours
l10n_dz_218530,Mobilier et matériel de cantine et réfectoire,218530,asset_fixed,,True,Mobilier et matériel de cantine et réfectoire
l10n_dz_218540,Mobiliers et équipements ménagers des logements de fonction,218540,asset_fixed,,True,Mobiliers et équipements ménagers des logements de fonction
l10n_dz_218580,Autres mobiliers et matériels divers,218580,asset_fixed,,True,Autres mobiliers et matériels divers
l10n_dz_218600,Actifs biologiques,218600,asset_fixed,,True,Actifs biologiques
l10n_dz_218700,Emballages récupérables,218700,asset_fixed,,True,Emballages récupérables
l10n_dz_232200,Terrains en cours,232200,asset_fixed,,True,Terrains en cours
l10n_dz_232300,Constructions en cours,232300,asset_fixed,,True,Constructions en cours
l10n_dz_232500,Installations techniques matériel et outillage industriels en cours,232500,asset_fixed,,True,Installations techniques matériel et outillage industriels en cours
l10n_dz_232800,Autres immobilisations corporelles,232800,asset_fixed,,True,Autres immobilisations corporelles
l10n_dz_238200,Avances sur commandes d’immobilisations incorporelles,238200,asset_fixed,,True,Avances sur commandes d’immobilisations incorporelles
l10n_dz_238210,Avances sur acquisitions de logiciels,238210,asset_fixed,,True,Avances sur acquisitions de logiciels
l10n_dz_238280,Avances sur acquisitions d'autres immobilisations incorporelles,238280,asset_fixed,,True,Avances sur acquisitions d'autres immobilisations incorporelles
l10n_dz_238400,Avances sur commandes d’immobilisations corporelles,238400,asset_fixed,,True,Avances sur commandes d’immobilisations corporelles
l10n_dz_238410,Avances et acomptes sur acquisitions de terrains,238410,asset_fixed,,True,Avances et acomptes sur acquisitions de terrains
l10n_dz_238420,Avances et acomptes sur constructions,238420,asset_fixed,,True,Avances et acomptes sur constructions
l10n_dz_238430,Avances sur acquisitions d'installations techniques,238430,asset_fixed,,True,Avances sur acquisitions d'installations techniques
l10n_dz_238440,Avances sur acquisitions de matériels et outillages industriels,238440,asset_fixed,,True,Avances sur acquisitions de matériels et outillages industriels
l10n_dz_238450,Avances sur acquisitions autres mobiliers et matériels,238450,asset_fixed,,True,Avances sur acquisitions autres mobiliers et matériels
l10n_dz_238480,Avances sur commandes d’autres immobilisations corporelles,238480,asset_fixed,,True,Avances sur commandes d’autres immobilisations corporelles
l10n_dz_272100,Obligations à terme,272100,asset_non_current,,True,Obligations à terme
l10n_dz_272200,Bons du Trésor,272200,asset_non_current,,True,Bons du Trésor
l10n_dz_272300,Dépôt à terme (DAT > 12 mois),272300,asset_non_current,,True,Dépôt à terme (DAT > 12 mois)
l10n_dz_274100,Prêts participatifs,274100,asset_non_current,,True,Prêts participatifs
l10n_dz_274200,Prêts au personnel,274200,asset_non_current,,True,Prêts au personnel
l10n_dz_274300,Autres prêts accordés,274300,asset_non_current,,True,Autres prêts accordés
l10n_dz_274400,Créances sur contrat de location-financement,274400,asset_non_current,,True,Créances sur contrat de location-financement
l10n_dz_274800,Intérêts courus sur prêts et créances de crédit bail,274800,asset_non_current,,True,Intérêts courus sur prêts et créances de crédit bail
l10n_dz_275100,Dépôts versés,275100,asset_non_current,,True,Dépôts versés
l10n_dz_275200,Cautionnements versés aux fonds de garantie,275200,asset_non_current,,True,Cautionnements versés aux fonds de garantie
l10n_dz_275300,Cautions de soumissions,275300,asset_non_current,,True,Cautions de soumissions
l10n_dz_275400,Cautions de bonne exécution ou de bonne fin,275400,asset_non_current,,True,Cautions de bonne exécution ou de bonne fin
l10n_dz_275500,Cautionnements versés sur loyers,275500,asset_non_current,,True,Cautionnements versés sur loyers
l10n_dz_275600,Cautionnements versés sur Téléphone,275600,asset_non_current,,True,Cautionnements versés sur Téléphone
l10n_dz_275700,Cautionnements versés à la SONELGAZ,275700,asset_non_current,,True,Cautionnements versés à la SONELGAZ
l10n_dz_275800,Autres cautionnements versés,275800,asset_non_current,,True,Autres cautionnements versés
l10n_dz_276100,Créances diverses – Actifs non courants,276100,asset_non_current,,True,Créances diverses – Actifs non courants
l10n_dz_276110,Billet de fonds à recevoir,276110,asset_non_current,,True,Billet de fonds à recevoir
l10n_dz_276800,Intérêts courus et non échus sur actifs non courants,276800,asset_non_current,,True,Intérêts courus et non échus sur actifs non courants
l10n_dz_280000,Amortissements des immobilisations incorporelles,280000,asset_fixed,,True,Amortissements des immobilisations incorporelles
l10n_dz_280410,Amortissement : Logiciels de traitements informatiques,280410,asset_fixed,,True,Amortissement : Logiciels de traitements informatiques
l10n_dz_280420,Amortissement : Hébergement site Web,280420,asset_fixed,,True,Amortissement : Hébergement site Web
l10n_dz_280510,Amortissement du droit à la propriété industrielle et commerciale,280510,asset_fixed,,True,Amortissement du droit à la propriété industrielle et commerciale
l10n_dz_280580,Amortissement des autres droits similaires (concession et franchise),280580,asset_fixed,,True,Amortissement des autres droits similaires (concession et franchise)
l10n_dz_280810,Amortissements du fonds de commerce (acquis à durée limitée),280810,asset_fixed,,True,Amortissements du fonds de commerce (acquis à durée limitée)
l10n_dz_280870,Amortissements des actifs environnementaux,280870,asset_fixed,,True,Amortissements des actifs environnementaux
l10n_dz_281000,Amortissements des immobilisations corporelles,281000,asset_fixed,,True,Amortissements des immobilisations corporelles
l10n_dz_281100,Amortissements des terrains de gisement (carrières),281100,asset_fixed,,True,Amortissements des terrains de gisement (carrières)
l10n_dz_281210,Amortissement des aménagements d'espaces verts,281210,asset_fixed,,True,Amortissement des aménagements d'espaces verts
l10n_dz_281220,Amortissement des autres agencements et aménagements de terrains,281220,asset_fixed,,True,Amortissement des autres agencements et aménagements de terrains
l10n_dz_281310,Amortissements des bâtiments administratifs et commerciaux,281310,asset_fixed,,True,Amortissements des bâtiments administratifs et commerciaux
l10n_dz_281311,Amortissement : Bâtiment Structure,281311,asset_fixed,,True,Amortissement : Bâtiment Structure
l10n_dz_281312,Amortissement : Bâtiments composant A,281312,asset_fixed,,True,Amortissement : Bâtiments composant A
l10n_dz_281313,Amortissement : Bâtiments composant B,281313,asset_fixed,,True,Amortissement : Bâtiments composant B
l10n_dz_281314,Amortissement : Bâtiments composant C,281314,asset_fixed,,True,Amortissement : Bâtiments composant C
l10n_dz_281320,Amortissement des bâtiments industriels (à décomposer),281320,asset_fixed,,True,Amortissement des bâtiments industriels (à décomposer)
l10n_dz_281330,Amortissements : Bâtiments sociaux (CMS-CANTINE-REFECTOIRE),281330,asset_fixed,,True,Amortissements : Bâtiments sociaux (CMS-CANTINE-REFECTOIRE)
l10n_dz_281340,Amortissements des immeubles de placement (au coût amorti),281340,asset_fixed,,True,Amortissements des immeubles de placement (au coût amorti)
l10n_dz_281350,Amortissements des agencements et aménagements de bâtiments,281350,asset_fixed,,True,Amortissements des agencements et aménagements de bâtiments
l10n_dz_281360,Amortissements des ouvrages d’infrastructure : Voies de transport,281360,asset_fixed,,True,Amortissements des ouvrages d’infrastructure : Voies de transport
l10n_dz_281380,Amortissements des travaux d’aménagement : Autres ouvrages,281380,asset_fixed,,True,Amortissements des travaux d’aménagement : Autres ouvrages
l10n_dz_281510,Amortissement des installations complexes spécialisées,281510,asset_fixed,,True,Amortissement des installations complexes spécialisées
l10n_dz_281530,Amortissement des installations à caractère spécifique,281530,asset_fixed,,True,Amortissement des installations à caractère spécifique
l10n_dz_281540,Amortissement du Matériel industriel,281540,asset_fixed,,True,Amortissement du Matériel industriel
l10n_dz_281550,Amortissement de l'outillage industriel,281550,asset_fixed,,True,Amortissement de l'outillage industriel
l10n_dz_281570,Amortissement des agencements et aménagements du matériel et outillage,281570,asset_fixed,,True,Amortissement des agencements et aménagements du matériel et outillage
l10n_dz_281580,Amortissement des Autres matériels et outillage industriel,281580,asset_fixed,,True,Amortissement des Autres matériels et outillage industriel
l10n_dz_281810,"Amort. Installations générales, agencements et aménagements divers",281810,asset_fixed,,True,"Amort. Installations générales, agencements et aménagements divers"
l10n_dz_281820,Amortissements du matériel de transport,281820,asset_fixed,,True,Amortissements du matériel de transport
l10n_dz_281821,Amortissement du Matériel de transport : Véhicules Lourds,281821,asset_fixed,,True,Amortissement du Matériel de transport : Véhicules Lourds
l10n_dz_281822,Amortissement du Matériel de transport : Véhicules Utilitaires,281822,asset_fixed,,True,Amortissement du Matériel de transport : Véhicules Utilitaires
l10n_dz_281823,Amortissement du Matériel de transport : Véhicules Légers,281823,asset_fixed,,True,Amortissement du Matériel de transport : Véhicules Légers
l10n_dz_281824,Amortissement du Matériel de transport en commun,281824,asset_fixed,,True,Amortissement du Matériel de transport en commun
l10n_dz_281828,Amortissement : Autres matériels roulants,281828,asset_fixed,,True,Amortissement : Autres matériels roulants
l10n_dz_281830,Amortissements du matériel bureautique et informatique,281830,asset_fixed,,True,Amortissements du matériel bureautique et informatique
l10n_dz_281831,Amortissement du Matériel de bureau,281831,asset_fixed,,True,Amortissement du Matériel de bureau
l10n_dz_281832,Amortissement du Matériel informatique,281832,asset_fixed,,True,Amortissement du Matériel informatique
l10n_dz_281834,"Amort. du matériel de communication, projection et d’insonorisation",281834,asset_fixed,,True,"Amort. du matériel de communication, projection et d’insonorisation"
l10n_dz_281835,Amortissement du matériel didactique de formation,281835,asset_fixed,,True,Amortissement du matériel didactique de formation
l10n_dz_281838,Amortissement des Autres équipements de bureau,281838,asset_fixed,,True,Amortissement des Autres équipements de bureau
