id,name,code_prefix_start,code_prefix_end,parent_id/id
pcg_0,Système Comptable et Financier Algérien,0,0,
pcg_1,CLASSE 1 : COMPTES DE CAPITAUX,1,1,
pcg_10,"Capital, réserves et assimilés",10,10,l10n_dz_elosys.pcg_1
pcg_101,"Capital émis ou capital social ou fonds de dotation, ou fonds d’exploitation",101,101,l10n_dz_elosys.pcg_10
pcg_1011,Capital social,1011,1011,l10n_dz_elosys.pcg_101
pcg_1012,Fonds de dotation,1012,1012,l10n_dz_elosys.pcg_101
pcg_1013,Fonds d'exploitation,1013,1013,l10n_dz_elosys.pcg_101
pcg_1018,Autres fonds propres,1018,1018,l10n_dz_elosys.pcg_101
pcg_103,Primes liées au capital social,103,103,l10n_dz_elosys.pcg_10
pcg_1031,Prime d’émission,1031,1031,l10n_dz_elosys.pcg_103
pcg_1032,Prime de fusion,1032,1032,l10n_dz_elosys.pcg_103
pcg_1033,Prime d’apports,1033,1033,l10n_dz_elosys.pcg_103
pcg_1034,Prime de conversion d’obligations en actions,1034,1034,l10n_dz_elosys.pcg_103
pcg_1035,Bons de souscription d’actions (BSA),1035,1035,l10n_dz_elosys.pcg_103
pcg_104,Ecart d’évaluation,104,104,l10n_dz_elosys.pcg_10
pcg_105,Ecart de réévaluation,105,105,l10n_dz_elosys.pcg_10
pcg_1051,Ecart de réévaluation sur immobilisations corporelles,1051,1051,l10n_dz_elosys.pcg_105
pcg_1059,Ecart de réévaluation rapporté au résultat de l’exercice,1059,1059,l10n_dz_elosys.pcg_105
pcg_106,"Réserves (légale, statutaire, ordinaire, réglementée)",106,106,l10n_dz_elosys.pcg_10
pcg_1061,Réserve légale,1061,1061,l10n_dz_elosys.pcg_106
pcg_1062,Réserves réglementées,1062,1062,l10n_dz_elosys.pcg_106
pcg_1063,Réserves statutaires ou contractuelles,1063,1063,l10n_dz_elosys.pcg_106
pcg_1064,Réserves ordinaires,1064,1064,l10n_dz_elosys.pcg_106
pcg_1065,Réserves Spéciales consécutive à l’octroi d’avantages,1065,1065,l10n_dz_elosys.pcg_106
pcg_1066,Réserves facultatives,1066,1066,l10n_dz_elosys.pcg_106
pcg_1068,Autres réserves,1068,1068,l10n_dz_elosys.pcg_106
pcg_107,Ecart d'équivalence,107,107,l10n_dz_elosys.pcg_10
pcg_108,Compte de l'exploitant,108,108,l10n_dz_elosys.pcg_10
pcg_109,Actionnaires : Capital souscrit non appelé,109,109,l10n_dz_elosys.pcg_10
pcg_11,Report à nouveau,11,11,l10n_dz_elosys.pcg_1
pcg_110,Report à nouveau (bénéfice),110,110,l10n_dz_elosys.pcg_11
pcg_115,Impact résultant du changement de la réglementation et des méthodes,115,115,l10n_dz_elosys.pcg_11
pcg_1151,Impact d'ajustement positif (plus value),1151,1151,l10n_dz_elosys.pcg_115
pcg_1159,Impact d'ajustement négatif (moins value),1159,1159,l10n_dz_elosys.pcg_115
pcg_117,Impact résultant des corrections d’estimation et d’erreurs comptables,117,117,l10n_dz_elosys.pcg_11
pcg_1171,Impact d'assainissement comptable et financier : positif,1171,1171,l10n_dz_elosys.pcg_117
pcg_1175,Ajustement résultant de correction d'estimation,1175,1175,l10n_dz_elosys.pcg_117
pcg_1176,Ajustement résultant de correction d'erreurs comptables,1176,1176,l10n_dz_elosys.pcg_117
pcg_1179,Impact d'assainissement comptable et financier : négatif,1179,1179,l10n_dz_elosys.pcg_117
pcg_118,Acompte sur dividendes,118,118,l10n_dz_elosys.pcg_11
pcg_119,Report à nouveau (Déficit),119,119,l10n_dz_elosys.pcg_11
pcg_12,Résultat de l'exercice,12,12,l10n_dz_elosys.pcg_1
pcg_120,Résultat net de l’exercice – (BENEFICE),120,120,l10n_dz_elosys.pcg_12
pcg_121,Marge commerciale,121,121,l10n_dz_elosys.pcg_12
pcg_122,Production de l’exercice,122,122,l10n_dz_elosys.pcg_12
pcg_123,Valeur Ajoutée d’exploitation,123,123,l10n_dz_elosys.pcg_12
pcg_124,Excédent (ou insuffisance) brut d’exploitation (EBE) – EBITDA,124,124,l10n_dz_elosys.pcg_12
pcg_125,Résultat opérationnel,125,125,l10n_dz_elosys.pcg_12
pcg_126,Résultat ordinaire avant impôts,126,126,l10n_dz_elosys.pcg_12
pcg_127,Résultat extraordinaire,127,127,l10n_dz_elosys.pcg_12
pcg_128,Résultat brut de l’exercice,128,128,l10n_dz_elosys.pcg_12
pcg_129,Résultat net de l’exercice – (DEFICIT),129,129,l10n_dz_elosys.pcg_12
pcg_13,Produits et charges différés – hors cycle d’exploitation,13,13,l10n_dz_elosys.pcg_1
pcg_131,Subventions d’équipement,131,131,l10n_dz_elosys.pcg_13
pcg_1311,Subventions d’équipements : Financement de l'Etat,1311,1311,l10n_dz_elosys.pcg_131
pcg_1312,Subventions d’équipements : Financement d'autres organismes,1312,1312,l10n_dz_elosys.pcg_131
pcg_1313,Transfert gratuit d’immobilisations,1313,1313,l10n_dz_elosys.pcg_131
pcg_1319,Subventions inscrites au compte de résultat,1319,1319,l10n_dz_elosys.pcg_131
pcg_132,Autres subventions d’investissement,132,132,l10n_dz_elosys.pcg_13
pcg_1321,Subventions d’investissement,1321,1321,l10n_dz_elosys.pcg_132
pcg_1322,Subventions pour financement d'activités à long terme,1322,1322,l10n_dz_elosys.pcg_132
pcg_1329,Autres subventions inscrites au compte de résultat,1329,1329,l10n_dz_elosys.pcg_132
pcg_133,Impôts différés actif,133,133,l10n_dz_elosys.pcg_13
pcg_134,Impôts différés passif,134,134,l10n_dz_elosys.pcg_13
pcg_138,Autres produits et charges différés,138,138,l10n_dz_elosys.pcg_13
pcg_1386,Charges différées – Passif non courant,1386,1386,l10n_dz_elosys.pcg_138
pcg_1387,Produits différés – Passif non courant,1387,1387,l10n_dz_elosys.pcg_138
pcg_15,Provisions pour charges - passifs non courants,15,15,l10n_dz_elosys.pcg_1
pcg_153,Provisions pour pensions et obligations similaires,153,153,l10n_dz_elosys.pcg_15
pcg_1531,Provisions pour avantages au personnel (IDR – IFC),1531,1539,l10n_dz_elosys.pcg_153
pcg_155,Provisions pour impôts,155,155,l10n_dz_elosys.pcg_15
pcg_1551,Provision pour rappel d'impôts et amendes fiscales,1551,1559,l10n_dz_elosys.pcg_155
pcg_156,Provisions pour renouvellement des immobilisations (concession),156,156,l10n_dz_elosys.pcg_15
pcg_158,Autres provisions pour charges - passifs non courants,158,158,l10n_dz_elosys.pcg_15
pcg_1581,Provisions pour remise en l’état ou de démantèlement,1581,1581,l10n_dz_elosys.pcg_158
pcg_1582,Provision pour perte à terminaison (contrats déficitaires),1582,1582,l10n_dz_elosys.pcg_158
pcg_1583,Provision pour procès et litiges (au-delà de 12 mois),1583,1583,l10n_dz_elosys.pcg_158
pcg_1584,Provision pour garantie données aux clients (au-delà de 12 mois),1584,1584,l10n_dz_elosys.pcg_158
pcg_1588,Autres provisions résultant d’obligation légale ou implicite,1588,1588,l10n_dz_elosys.pcg_158
pcg_16,Emprunts et dettes assimilés,16,16,l10n_dz_elosys.pcg_1
pcg_161,Titres participatifs,161,161,l10n_dz_elosys.pcg_16
pcg_1611,Emprunt Principal,1611,1611,l10n_dz_elosys.pcg_161
pcg_1618,Intérêts courus et non échus,1618,1618,l10n_dz_elosys.pcg_161
pcg_162,Emprunts obligataires convertibles,162,162,l10n_dz_elosys.pcg_16
pcg_1621,Emprunt Principal,1621,1621,l10n_dz_elosys.pcg_162
pcg_1628,Intérêts courus et non échus,1628,1628,l10n_dz_elosys.pcg_162
pcg_163,Autres emprunts obligataires,163,163,l10n_dz_elosys.pcg_16
pcg_1631,Emprunt Principal,1631,1631,l10n_dz_elosys.pcg_163
pcg_1638,Intérêts courus et non échus,1638,1638,l10n_dz_elosys.pcg_163
pcg_164,Emprunts auprès des établissements de crédit,164,164,l10n_dz_elosys.pcg_16
pcg_1641,Emprunts à Court Terme,1641,1641,l10n_dz_elosys.pcg_164
pcg_1642,Emprunts à Moyen  Terme,1642,1642,l10n_dz_elosys.pcg_164
pcg_1643,Emprunts à Long Terme,1643,1643,l10n_dz_elosys.pcg_164
pcg_1646,Intérêts intercalaires,1646,1646,l10n_dz_elosys.pcg_164
pcg_1648,Intérêts courus et non échus,1648,1648,l10n_dz_elosys.pcg_164
pcg_165,Dépôts et cautionnements reçus,165,165,l10n_dz_elosys.pcg_16
pcg_1651,Dépôts reçus,1651,1651,l10n_dz_elosys.pcg_165
pcg_1655,Cautionnements reçus,1655,1655,l10n_dz_elosys.pcg_165
pcg_1658,Intérêts courus et non échus,1658,1658,l10n_dz_elosys.pcg_165
pcg_167,Dettes sur contrat de location-financement,167,167,l10n_dz_elosys.pcg_16
pcg_1671,Financement Principal,1671,1671,l10n_dz_elosys.pcg_167
pcg_1678,Intérêts courus et non échus,1678,1678,l10n_dz_elosys.pcg_167
pcg_168,Autres emprunts et dettes assimilés,168,168,l10n_dz_elosys.pcg_16
pcg_1681,Emprunt Principal,1681,1681,l10n_dz_elosys.pcg_168
pcg_1688,Intérêts courus et non échus,1688,1688,l10n_dz_elosys.pcg_168
pcg_169,Primes de remboursement des obligations,169,169,l10n_dz_elosys.pcg_16
pcg_17,Dettes rattachées à des participations,17,17,l10n_dz_elosys.pcg_1
pcg_171,Dettes rattachées à des participations groupe,171,171,l10n_dz_elosys.pcg_17
pcg_172,Dettes rattachés à des participations hors groupe,172,172,l10n_dz_elosys.pcg_17
pcg_173,Dettes rattachés à des sociétés en participation,173,173,l10n_dz_elosys.pcg_17
pcg_178,Autres dettes rattachés à des participations,178,178,l10n_dz_elosys.pcg_17
pcg_18,Comptes de liaison des établissements et sociétés en participation,18,18,l10n_dz_elosys.pcg_1
pcg_181,Comptes de liaison entre établissements,181,181,l10n_dz_elosys.pcg_18
pcg_1814,Créances sur la participation ou GIE,1814,1814,l10n_dz_elosys.pcg_181
